Target Name	IC50 (nM)	Value	Target Source Organism According to Curator or DataSource	Ligand SMILES
Cathepsin B	1000.1	'>'	Homo sapiens	CCCC(CCC)C(=O)N[C@H](C=O)Cc1c[nH]c2ccccc12
Cathepsin B	1.0	'='	Homo sapiens	Cc1cccc(O[C@H]2CCN3C[C@H]2OC3=O)c1C
Cathepsin B	10000.1	'>'	Homo sapiens	NC(=S)NN=C1c2ccccc2-c2ccccc21
Cathepsin B	30000.1	'>'	Homo sapiens	C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3ccccc3)nc3ccccc23)CN1C(=O)[C@@H](NC(=O)[C@@H](NC(C)=O)C1CCCCC1)C(C)C)C(=O)O
Cathepsin B	2.0	'='	Homo sapiens	O=C1O[C@@H]2CN1CC[C@@H]2OCc1ccccc1
Cathepsin B	50000.1	'>'	Homo sapiens	Nc1cc(OC(=O)c2cccs2)nn1S(=O)(=O)c1ccccc1
Cathepsin B	45.0	'='	Homo sapiens	Cc1cccc(C[C@H](NC(=O)C(c2ccccc2)c2ccccc2)C(=O)NCC#N)c1
Cathepsin B	93.0	'='	Homo sapiens	CC(C)C[C@H](Nc1cccc(-c2ccc(N3CCNCC3)cc2)c1)C(=O)NCC#N
Cathepsin B	50000.1	'>'	Homo sapiens	N#C[C@]1(NC(=O)[C@H](N)Cc2cccs2)C[C@H]1c1ccccc1.O=C(O)C(F)(F)F
Cathepsin B	4200.0	'='	Homo sapiens	CC[C@H](C)[C@@H](C(=O)O[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)/C=C/C(=O)N1C(=O)C=C(OC)[C@@H]1C)N(C)C
Cathepsin B	4041.0	'='	Homo sapiens	N#CC1(NC(=O)[C@H](CS(=O)(=O)Cc2ccccc2-c2ccccc2)N[C@@H](c2ccc(F)cc2)C(F)(F)F)CC1
Cathepsin B	1319.0	'='	Homo sapiens	N#CC1(NC(=O)[C@H](CS(=O)(=O)Cc2cccc(F)c2F)N[C@@H](c2ccc(F)cc2)C(F)(F)F)CC1
Cathepsin B	287.0	'='	Homo sapiens	N#CC1(NC(=O)[C@H](CS(=O)(=O)CC2CC2)N[C@@H](c2ccccc2)C(F)(F)F)CC1
Cathepsin B	8029.0	'='	Homo sapiens	C[S+]([O-])C[C@H](N[C@@H](c1ccc(Br)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1
Cathepsin B	10000.1	'>'	Homo sapiens	COCc1nnc(-c2cccc(C[C@H](NC(=O)c3cc(C(C)(C)C)nn3C)C(=O)NCC#N)c2)o1
Cathepsin B	10000.1	'>'	Homo sapiens	Cn1nc(C(C)(C)C)cc1C(=O)N[C@@H](Cc1cccc(-c2nnc(CO)o2)c1)C(=O)NCC#N
Cathepsin B	18000.0	'='	Homo sapiens	CCCC[C@H](NC(=O)O[C@H](Cc1nnc(-c2ccc(F)cc2)o1)C(C)(C)C)C(=O)C(=O)NCc1cccnc1
Cathepsin B	2599.0	'='	Homo sapiens	CC(C)C[C@@H](C(=O)NCC#N)c1cccc(-c2ccc(N3CCN(C)CC3)cc2)c1
Cathepsin B	379.0	'='	Homo sapiens	CC(C)CC(C(=O)NCC#N)c1cccc(-c2ccc(N3CCN(C(C)(C)C)CC3)cc2)c1
Cathepsin B	810.0	'='	Homo sapiens	CCCC[C@@H](C=O)NC(=O)OC1(Cc2ccccc2)CCCC1
Cathepsin B	2000.1	'>'	Homo sapiens	CCCC[C@H](NC(=O)O[C@H]1CCCc2ccccc21)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin B	12000.0	'='	Homo sapiens	CCCC[C@H](NC(=O)OC1C2(C)CCC(C2)C1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin B	1640.0	'='	Homo sapiens	CC(=O)c1c(Nc2ccc(Br)cc2)[nH]c2c(Br)ccc(Br)c2c1=O
Cathepsin B	2.0	'='	Homo sapiens	Cc1cccc(C[C@H](NC(=O)c2ccc(Cl)cc2F)C(=O)N[C@H](C#N)COCc2cccc(C(=O)O)c2)c1
Cathepsin B	460.0	'='	Homo sapiens	CC[C@@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C=O)Cc1c[nH]c2ccccc12
Cathepsin B	2000.1	'>'	Homo sapiens	CCCC[C@H](NC(=O)OCC1(CCCc2ccccc2)CCC1)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin B	10000.1	'>'	Homo sapiens	CCCc1cc(-c2cccc(CC(C)C)c2)nc(C#N)n1
Cathepsin B	1400.0	'='	Homo sapiens	N#CN1CCC(NS(=O)(=O)c2ccccc2)C1
Cathepsin B	1584.89	'='	Homo sapiens	N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCN(c3nc4ccccc4s3)CC2)CC1
Cathepsin B	6309.57	'='	Homo sapiens	N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCN(c3nc(C(F)(F)F)cs3)CC2)CC1
Cathepsin B	10000.1	'>'	Homo sapiens	CC(C)CC(C(=O)NCC#N)c1cccc(-c2cncnc2)c1
Cathepsin B	1590.0	'='	Homo sapiens	NC(=S)N/N=C(/c1cccc(Br)c1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
Cathepsin B	10000.1	'>'	Homo sapiens	COc1ccc2c(c1)/C(=N/NC(N)=S)CCC2
Cathepsin B	6.8	'='	Homo sapiens	Cc1cccc(C[C@H](NC(=O)c2ccc(F)cc2F)C(=O)N[C@H](C#N)COCc2cccc(C(=O)O)c2)c1
Cathepsin B	11.9	'='	Homo sapiens	Cc1cc(C)cc(C[C@H](NC(=O)C(c2ccccc2)c2ccccc2)C(=O)NCC#N)c1
Cathepsin B	6457.0	'='	Homo sapiens	CC(C)(C)NCCCc1cc(-c2cccc(C(F)(F)F)c2)nc(C#N)n1
Cathepsin B	100000.0	'='	Homo sapiens	CCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)C(=O)NCc1ccccc1
Cathepsin B	7943.28	'='	Homo sapiens	N#CCNC(=O)[C@H](Cc1cccc(-c2cccnc2)c1)NC(=O)c1ccccc1
Cathepsin B	300000.1	'>'	Homo sapiens	CC(NC(=O)[C@H](CC(=O)N(C)C)NC(=O)[C@@H](NC(=O)CC(C)(C)C)C(C)(C)C)C(=O)C(=O)NCc1ccccc1
Cathepsin B	500.0	'='	Homo sapiens	N#CN1CC(OCC2CCCCC2)C1
Cathepsin B	10000.1	'>'	Homo sapiens	NC(=S)N/N=C1\CCCc2c(O)cccc21
Cathepsin B	3300.1	'>'	Homo sapiens	CC(C)(C)NC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C
Cathepsin B	3000.0	'='	Homo sapiens	CCCCC(=O)N[C@@H](Cc1cccc(C)c1)C(=O)NCC#N
Cathepsin B	3329.0	'='	Homo sapiens	CC(C)CC(C(=O)NCC#N)c1cccc(-c2ccc(-c3ccncc3)cc2)c1
Cathepsin B	26.0	'='	Homo sapiens	CC(C)C[C@H](Nc1ccc(-c2ccc(N3CCNCC3)cc2)cc1)C(=O)NCC#N
Cathepsin B	3981.07	'='	Homo sapiens	N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCN(c3nc4ccncc4s3)CC2)CC1
Cathepsin B	1900.0	'='	Homo sapiens	CC(C)C[C@H](NC(=O)OCC(C)(C)Oc1ccc(F)cc1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O
Cathepsin B	180.0	'='	Homo sapiens	Cc1cccc(C[C@H](NC(=O)c2ccc(F)cc2F)C(=O)N[C@H](C#N)COCc2cccc(C(=O)O)c2)c1
Cathepsin B	2600.0	'='	Homo sapiens	CC(C)C[C@H](NC(=O)OCC(C)(C)Sc1ccccc1)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O
Cathepsin B	10000.1	'>'	Homo sapiens	NC(=S)NN=C(c1ccc(Br)cc1)c1ccc(Br)cc1
Cathepsin B	10000.1	'>'	Homo sapiens	NC(=S)N/N=C(\c1ccccc1)c1cccc(C(=O)c2ccccc2)c1
Cathepsin B	100000.1	'>'	Homo sapiens	COc1ccc(C(=O)NCC(=O)NC/C=C/S(C)(=O)=O)cc1C(=O)C(C)(C)c1cc(Cl)cc(Cl)c1
Cathepsin B	25118.96	'>'	Homo sapiens	COc1ccc(OC)c(S(=O)(=O)N[C@@H]2C[C@H](C)N(C#N)C2)c1
Cathepsin B	496.0	'='	Homo sapiens	N#CCNC(=O)[C@H](Cc1ccccc1)NC(=O)C(c1ccccc1)c1ccccc1
Cathepsin B	5000.1	'>'	Homo sapiens	CCCC[C@H](NC(=O)OCC(C)(C)Cc1ccccc1)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin B	1812.0	'='	Homo sapiens	CC(C)C[C@H](Nc1ccccc1-c1ccc(N2CCNCC2)cc1)C(=O)NCC#N
Cathepsin B	30000.1	'>'	Homo sapiens	CCC(C)CNc1nc(C#N)nc2c1ncn2C1CCCC1
Cathepsin B	30000.1	'>'	Homo sapiens	COc1ccc(Cn2cnc3c(NCc4ccccc4)nc(C#N)nc32)cc1
Cathepsin B	81500.0	'='	Homo sapiens	O=C1NN(c2ccc(Cl)cc2)C(=O)/C1=C\c1ccc(-c2ccc(C(=O)O)cc2)o1
Cathepsin B	38.0	'='	Homo sapiens	CC(C)C(NC(=O)OC(C)(C)C)C(=O)N1CCCCN1C#N
Cathepsin B	40.0	'='	Homo sapiens	CC(C)C(Nc1cccc(C#N)c1)C(=O)N1CCCCN1C#N
Cathepsin B	50000.1	'>'	Homo sapiens	N#Cc1nc(NCc2cccc(-c3cn(S(=O)(=O)c4ccccc4)c4ccccc34)c2)c2ncn(CCCO)c2n1
Cathepsin B	50000.1	'>'	Homo sapiens	N#Cc1nc(NCc2cccc(-c3ccc4ccccc4c3)c2)c2ncn(CCCO)c2n1
Cathepsin B	30000.1	'>'	Homo sapiens	N#Cc1nc(NCc2ccc(Cl)c(Cl)c2)c2ncn(CCO)c2n1
Cathepsin B	30000.1	'>'	Homo sapiens	COc1ccc(CNc2nc(C#N)nc3c2ncn3Cc2ccccc2)cc1
Cathepsin B	30000.1	'>'	Homo sapiens	CCCCn1cnc2c(NCc3ccccc3)nc(C#N)nc21
Cathepsin B	580.0	'='	Homo sapiens	CC[C@@H](C)[C@H](NC(=O)NC(C)C)C(=O)N[C@@H](C=O)Cc1c[nH]c2ccccc12
Cathepsin B	2250.0	'='	Homo sapiens	CCOC(=O)/C=C/C=C/C(=O)[C@H](CCc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)N1CCOCC1
Cathepsin B	600.0	'='	Homo sapiens	
Cathepsin B	10000.1	'>'	Homo sapiens	N#CCNC(=O)[C@H](Cc1cccc(-c2nnco2)c1)NC(=O)c1ccccc1
Cathepsin B	10000.1	'>'	Homo sapiens	Cn1nc(C(C)(C)C)cc1C(=O)N[C@@H](Cc1cccc(-c2nncs2)c1)C(=O)NCC#N
Cathepsin B	1000.1	'>'	Homo sapiens	CC(C)C[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@@H](C=O)Cc1c[nH]c2ccccc12
Cathepsin B	100000.1	'>'	Homo sapiens	Cc1cccc(O[C@@H]2CCNC[C@H]2O)c1C
Cathepsin B	20590.0	'='	Homo sapiens	COc1cc(/C=C/C(=O)c2ccco2)ccc1O
Cathepsin B	35.7	'='	Homo sapiens	CCCCC(=O)N[C@@H](Cc1cccc(C)c1)C(=O)N[C@H](C#N)COCc1cccc(C(=O)O)c1
Cathepsin B	300000.1	'>'	Homo sapiens	Cc1ccc2oc(C(=O)C(C)NC(=O)[C@H](CC(=O)N(C)C)NC(=O)[C@@H](NC(=O)CC(C)(C)C)C(C)(C)C)nc2c1
Cathepsin B	107000.0	'='	Homo sapiens	CCCC[C@H](NC(=O)O[C@H](Cn1ccc(-c2ccc(C(F)(F)F)cc2)n1)C(C)(C)C)C(=O)C(=O)Nc1ccccn1
Cathepsin B	1000.1	'>'	Homo sapiens	O=C[C@H](Cc1c[nH]c2ccccc12)NC(=O)CCc1ccccc1
Cathepsin B	100000.1	'>'	Homo sapiens	N#Cc1ccccc1N1CCN(C[C@H](O)COC[C@H](Cc2ccccc2)NS(=O)(=O)c2ccc(C(F)(F)F)cc2)CC1
Cathepsin B	100000.1	'>'	Homo sapiens	N#Cc1ccccc1N1CCN(C[C@@H](O)COC[C@H](Cc2ccccc2)NC(=O)C2CCN(C(=O)OCc3ccccc3)CC2)CC1
Cathepsin B	45.0	'='	Homo sapiens	COc1ccc(Nc2nc(C#N)nc(N3CCNCC3)n2)cc1
Cathepsin B	10000.1	'>'	Homo sapiens	NC(=S)N/N=C1\CCS(=O)(=O)c2ccc(OC(F)(F)F)cc21
Cathepsin B	4080.0	'='	Homo sapiens	COc1ccc(CC(NC(=O)c2ccc(-c3ccccc3)cc2)C(=O)NC2(C#N)CC2)cn1
Cathepsin B	10000.1	'>'	Homo sapiens	NC(=S)N/N=C(\c1ccc(Cl)cc1)c1cccc(Br)c1
Cathepsin B	23.0	'='	Homo sapiens	CC(C)C(Nc1cccc(C(F)(F)F)c1)C(=O)N1CCCCN1C#N
Cathepsin B	31.3	'='	Homo sapiens	Cc1cccc(C[C@H](NC(=O)c2ccc(Cl)c(Cl)c2)C(=O)NCC#N)c1
Cathepsin B	10000.1	'>'	Homo sapiens	S=C(NCc1ccccc1)NN=C(c1cccc(Br)c1)c1cccc(Br)c1
Cathepsin B	780.0	'='	Homo sapiens	O=C[C@H](Cc1c[nH]c2ccccc12)NC(=O)C1CCCCC1
Cathepsin B	32.0	'='	Homo sapiens	CC(C)C(Nc1cccc(Cl)c1)C(=O)N1CCCCN1C#N
Cathepsin B	12000.0	'='	Homo sapiens	CCCC[C@@H](C=O)NC(=O)OC1(Cc2ccccc2)CCCCC1
Cathepsin B	4200.0	'='	Homo sapiens	N#CCNC(=O)C1(NC(=O)c2ccc(-c3csc(N4CCOCC4)n3)cc2)CCCCC1
Cathepsin B	10000.1	'>'	Homo sapiens	COc1ccc(C(=O)c2cccc(/C(=N/NC(N)=S)c3ccc(O)cc3)c2)cc1
Cathepsin B	14.2	'='	Homo sapiens	CC(=O)c1c(Nc2ccc(Cl)cc2)[nH]c2c(Cl)cc([N+](=O)[O-])cc2c1=O
Cathepsin B	1530.0	'='	Homo sapiens	CC(=O)c1c(Nc2ccc(Cl)cc2)[nH]c2c(Br)ccc(Cl)c2c1=O
Cathepsin B	59.0	'='	Homo sapiens	CC(C)C[C@H](NC(=O)c1cc2ccccc2o1)C(=O)N[C@@H](C)C(=O)CNS(=O)(=O)c1ccccn1
Cathepsin B	50000.1	'>'	Homo sapiens	N#Cc1nc(NCc2cccc(-c3cc(Cl)cc(Cl)c3)c2)c2ncn(CCCO)c2n1
Cathepsin B	10000.1	'>'	Homo sapiens	CN1CCC(CCOc2ccc(-c3cc4c(ncn4C)c(C#N)n3)cc2C(F)(F)F)CC1
Cathepsin B	10000.1	'>'	Homo sapiens	NC(=S)N/N=C(/c1cccc(Br)c1)c1ccc(Br)s1
Cathepsin B	79.0	'='	Homo sapiens	CCCC[C@H](NC(=O)O[C@H](Cn1ccc(-c2cccnc2)n1)C(C)(C)C)C(=O)CNS(=O)(=O)c1ccccn1
Cathepsin B	12000.1	'>'	Homo sapiens	CCCC[C@H](NC(=O)OC1(Cc2ccccc2)CCCC1)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin B	5000.0	'='	Homo sapiens	Nc1cc(OC(=O)c2cccs2)nn1S(=O)(=O)c1ccccc1
Cathepsin B	6309.57	'='	Homo sapiens	Cn1nc(C(C)(C)C)cc1C(=O)N[C@@H](Cc1cccc(-c2nnc(CCN)o2)c1)C(=O)NCC#N
Cathepsin B	12950.0	'='	Homo sapiens	O=C(/C=C/c1ccc(O)c2ccccc12)c1ccc(O)cc1O
Cathepsin B	2371.0	'='	Homo sapiens	N#CC1(NC(=O)[C@H](Cc2cscn2)NC(=O)c2ccc(-c3ccccc3)cc2)CC1
Cathepsin B	2210.0	'='	Homo sapiens	N#CC1(NC(=O)[C@H](Cc2ccccc2)NC(=O)c2ccc(-c3ccccc3)cc2)CC1
Cathepsin B	10000.1	'>'	Homo sapiens	NC(=S)N/N=C(/c1cccc(Br)c1)c1cccc(Br)c1O
Cathepsin B	10000.1	'>'	Homo sapiens	NC(=S)N/N=C(/c1cccc(Br)c1)C1CCCCC1
Cathepsin B	10000.1	'>'	Homo sapiens	CCCc1cc(-c2cccc(C(C)=O)c2)nc(C#N)n1
Cathepsin B	10000.1	'>'	Homo sapiens	CCCc1cc(-c2ccc(Cl)c(C(F)(F)F)c2)nc(C#N)n1
Cathepsin B	10000.1	'>'	Homo sapiens	NC(=S)N/N=C(\c1cccc(Cl)c1)c1cccc(Br)c1
Cathepsin B	3366.0	'='	Homo sapiens	CC(C)CC(NC(=O)c1cccc(-c2ccc(S(C)(=O)=O)cc2)c1)C(=O)N(C)N(C)C#N
Cathepsin B	50000.1	'>'	Homo sapiens	CC(C)Oc1c(Br)cccc1-c1cccc(CNc2nc(C#N)nc3c2ncn3CCCO)c1
Cathepsin B	10000.1	'>'	Homo sapiens	NC(=S)N/N=C(\c1ccc(Br)cc1)c1cccc(/C(=N/NC(N)=S)c2ccc(Br)cc2)c1
Cathepsin B	150.0	'='	Homo sapiens	N#CN1CC(CNC(=O)C2CCCCC2)C1
Cathepsin B	172000.0	'='	Homo sapiens	CCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)C(=O)NCc1ccccc1
Cathepsin B	10000.1	'>'	Homo sapiens	NC(=S)N/N=C(/c1cccc(Br)c1)c1cc(F)c(F)c(F)c1F
Cathepsin B	10000.1	'>'	Homo sapiens	NC(=S)N/N=C(/c1cccc(Br)c1)c1cccc(F)c1F
Cathepsin B	10000.1	'>'	Homo sapiens	N#CCNC(=O)[C@H](Cc1cccc(-c2ccnnc2)c1)NC(=O)c1ccccc1
Cathepsin B	1400.0	'='	Homo sapiens	Nc1cc(OC(=O)c2cccs2)nn1S(=O)(=O)c1ccccc1
Cathepsin B	15000.1	'>'	Homo sapiens	N#Cc1nc(NCc2cccc(-c3ccccc3C(F)(F)F)c2)c2ncn(CCCO)c2n1
Cathepsin B	15000.1	'>'	Homo sapiens	COC(=O)c1cccc(-c2cccc(CNc3nc(C#N)nc4c3ncn4CCCO)c2)c1
Cathepsin B	15000.1	'>'	Homo sapiens	COc1ncc(-c2cccc(CNc3nc(C#N)nc4c3ncn4CCCO)c2)c(OC)n1
Cathepsin B	7943.28	'='	Homo sapiens	Cn1nccc1-c1cccc(C[C@H](NC(=O)c2ccccc2)C(=O)NCC#N)c1
Cathepsin B	5000.1	'>'	Homo sapiens	N#CC1(NC(=O)[C@H](Cc2ccccn2)NC(=O)c2ccc(-c3ccccc3)cc2)CC1
Cathepsin B	68.0	'='	Homo sapiens	CCCC[C@H](NC(=O)O[C@H](Cn1ccc(-c2ccc(C(F)(F)F)cc2)n1)C(C)(C)C)C(=O)CNc1cccc(F)n1
Cathepsin B	417.0	'='	Homo sapiens	CC(C)[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)c1ccccc1)C(C)(C)C)C(=O)C(=O)NC1CC1
Cathepsin B	5.0	'='	Homo sapiens	O=C1O[C@@H]2CN1CC[C@@H]2Oc1ccccc1
Cathepsin B	10000.1	'>'	Homo sapiens	CC(C)CC(NC(c1ccc(-c2ccc(N3CCNCC3)cc2)cc1)C(F)(F)F)C(=O)NCC#N
Cathepsin B	10000.1	'>'	Homo sapiens	NC(=S)N/N=C(/c1ccc(Br)cc1)c1ccccc1F
Cathepsin B	10000.1	'>'	Homo sapiens	NC(=S)N/N=C(/c1ccc(Br)cc1)c1ccc(C(F)(F)F)cc1
Cathepsin B	2340.0	'='	Homo sapiens	CCC(CC)NCCCc1cc(-c2cccc(C(F)(F)F)c2)nc(C#N)n1
Cathepsin B	940.0	'='	Homo sapiens	N#CCNC(=O)[C@H](CC1CCCCC1)NC(=O)c1ccccc1
Cathepsin B	300.0	'='	Homo sapiens	NC(=S)N/N=C(/c1cc(Cl)cc(Cl)c1)c1cccs1
Cathepsin B	8100.0	'='	Homo sapiens	COc1ccc(C(=O)NCc2ccnc(C#N)n2)cc1C(=O)C(C)(C)c1cc(Cl)cc(Cl)c1
Cathepsin B	2940.0	'='	Homo sapiens	[N-]=[N+]=CC(=O)[C@H](Cc1ccc(I)cc1)NC(=O)CN
Cathepsin B	690.0	'='	Homo sapiens	COc1ccc(S(=O)(=O)n2nc(OC(=O)c3cccs3)cc2N)cc1
Cathepsin B	1750.0	'='	Homo sapiens	Cc1ccc(S(=O)(=O)n2nc(OC(=O)c3ccco3)cc2N)cc1
Cathepsin B	440.0	'='	Homo sapiens	Nc1cc(OC(=O)c2cccs2)nn1S(=O)(=O)c1ccc(F)cc1
Cathepsin B	30000.1	'>'	Homo sapiens	COCCCn1cnc2c(NCc3ccc(Cl)c(Cl)c3)nc(C#N)nc21
Cathepsin B	5430.0	'='	Homo sapiens	N#Cc1nc(NCc2ccc(Cl)c(Cl)c2)c2ncn(CCCO)c2n1
Cathepsin B	30000.1	'>'	Homo sapiens	N#Cc1nc(NCc2ccc(Cl)cc2)c2ncn(CCCCO)c2n1
Cathepsin B	30000.1	'>'	Homo sapiens	N#Cc1nc(NCc2ccccc2)c2ncn(Cc3cccc(C(F)(F)F)c3)c2n1
Cathepsin B	30000.1	'>'	Homo sapiens	CCCCn1cnc2c(NCc3ccc(C)cc3)nc(C#N)nc21
Cathepsin B	30000.1	'>'	Homo sapiens	Cc1cccc(CNc2nc(C#N)nc3c2ncn3CC2CCCCC2)c1
Cathepsin B	30000.1	'>'	Homo sapiens	COc1ccc(CNc2nc(C#N)nc3c2ncn3C2CCCC2)cc1
Cathepsin B	17700.0	'='	Homo sapiens	N#Cc1nc(NC2CCCCC2)c2ncn(Cc3ccccc3)c2n1
Cathepsin B	6629.0	'='	Homo sapiens	N#CC1(NC(=O)[C@H](CS(=O)(=O)c2cccc(Br)c2)N[C@@H](c2ccccc2)C(F)(F)F)CC1
Cathepsin B	60000.0	'='	Homo sapiens	CCCC[C@H](NC(=O)O[C@H](CN1CCN(c2ccc(C(F)(F)F)cc2)C1=O)C(C)(C)C)C(=O)C(=O)Nc1ccn[nH]1
Cathepsin B	40.0	'='	Homo sapiens	Cc1cc(C)cc(CC(NC(=O)C(c2ccccc2)c2ccccc2)C(=O)NCC#N)c1
Cathepsin B	10000.1	'>'	Homo sapiens	NC(=S)N/N=C(\c1cccc(Br)c1)c1cc(O)cc(C(=O)c2cccc(Br)c2)c1
Cathepsin B	1100.0	'='	Homo sapiens	CN1CCN(c2nc(-c3ccc(C(=O)NC4(C(=O)NCC#N)CCCCC4)cc3)cs2)CC1
Cathepsin B	61.0	'='	Homo sapiens	CCCN1CCN(c2ccc(C(=O)NC3(C(=O)NCC#N)CCCCC3)cc2)CC1
Cathepsin B	300000.1	'>'	Homo sapiens	C[C@H](NC(=O)[C@H](CC(=O)N(C)C)NC(=O)[C@@H](NC(=O)CC(C)(C)C)C(C)(C)C)C(=O)C(F)(F)C(=O)NCc1ccccc1
Cathepsin B	10000.1	'>'	Homo sapiens	NC(=S)N/N=C1\CC(Nc2ccccc2)c2ccc(Br)cc21
Cathepsin B	500.0	'='	Homo sapiens	N#CN1CC(OCc2ccccc2)C1
Cathepsin B	10000.1	'>'	Homo sapiens	NC(=S)N/N=C(\Cc1ccccc1)c1ccccc1
Cathepsin B	13000.0	'='	Homo sapiens	N#Cc1nc(NCc2cccc(-c3ccc4[nH]ccc4c3)c2)c2ncn(CCCO)c2n1
